					
Mesure effectuee le 24/03/2014 a 15:53					
frequence 100 millisecond multiple					
section 0,06mm2					
vitesse 0,1mm/s					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
-0,003	0,1	2,09	0,1	2,09	0,06
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
-41,6292	-0,003254	-0,003224	-0,002498	-0,000294	
-41,6292	-0,003254	-0,003224	-0,002498	-0,000294	
-41,6292	-0,003253	-0,003223	-0,002498	-0,000294	
-41,6292	-0,003257	-0,003225	-0,002498	-0,000294	
-41,6292	-0,003256	-0,003222	-0,002498	-0,000294	
-41,6292	-0,003256	-0,003224	-0,002498	-0,000294	
-62,443802	-0,003256	-0,003224	-0,003747	-0,000294	
-62,443802	-0,003256	-0,003224	-0,003747	-0,000294	
-62,443802	-0,003254	-0,003223	-0,003747	-0,000294	
-62,443802	-0,003257	-0,003221	-0,003747	-0,000294	
-41,6292	-0,003256	-0,003225	-0,002498	-0,000294	
-41,6292	-0,003256	-0,003224	-0,002498	-0,000294	
-41,6292	-0,003256	-0,003224	-0,002498	-0,000294	
-41,6292	-0,003257	-0,003224	-0,002498	-0,000294	
-41,6292	-0,003253	-0,003225	-0,002498	-0,000294	
-41,6292	-0,003254	-0,003222	-0,002498	-0,000294	
-41,6292	-0,003257	-0,003223	-0,002498	-0,000294	
-41,6292	-0,003257	-0,003223	-0,002498	-0,000294	
-41,6292	-0,003257	-0,003223	-0,002498	-0,000294	
-72,851097	-0,003257	-0,003224	-0,004371	-0,000294	
-41,6292	-0,003254	-0,003224	-0,002498	-0,000294	
-41,6292	-0,003257	-0,003223	-0,002498	-0,000294	
-52,036499	-0,003257	-0,003223	-0,003122	-0,000294	
-52,036499	-0,003257	-0,003224	-0,003122	-0,000294	
-41,6292	-0,003257	-0,003224	-0,002498	-0,000294	
-41,6292	-0,003254	-0,003225	-0,002498	-0,000294	
-41,6292	-0,003254	-0,003225	-0,002498	-0,024118	
-41,6292	-0,003258	-0,003223	-0,002498	-0,024118	
-41,6292	-0,003258	-0,003223	-0,002498	-0,045588	
-41,6292	-0,003256	-0,003224	-0,002498	-0,045588	
-41,6292	-0,003254	-0,003223	-0,002498	-0,066765	
-41,6292	-0,003254	-0,003224	-0,002498	-0,066765	
-10,4073	-0,003257	-0,003224	-0,000624	-0,087059	
-10,4073	-0,003256	-0,003224	-0,000624	-0,087059	
-52,036499	-0,003256	-0,003222	-0,003122	-0,107059	
-52,036499	-0,003256	-0,003223	-0,003122	-0,124412	
-41,6292	-0,003257	-0,003228	-0,002498	-0,124412	
-41,6292	-0,003256	-0,003223	-0,002498	-0,143824	
-52,036499	-0,003256	-0,003223	-0,003122	-0,143824	
-52,036499	-0,003258	-0,003225	-0,003122	-0,163529	
-31,221901	-0,003257	-0,003223	-0,001873	-0,163529	
-41,6292	-0,003256	-0,003224	-0,002498	-0,182059	
-41,6292	-0,003253	-0,003225	-0,002498	-0,182059	
-31,221901	-0,003256	-0,003224	-0,001873	-0,201765	
-31,221901	-0,003258	-0,003224	-0,001873	-0,201765	
-31,221901	-0,003257	-0,003224	-0,001873	-0,220882	
