					
Mesure effectuee le 24/03/2014 a 15:47					
frequence 100 millisecond multiple					
section 0,13mm2					
vitesse 0,1mm/s					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
-0,002	0,1	2,09	0,1	2,09	0,13
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
-9,606738	-0,003254	-0,003223	-0,001249	0	
-9,606738	-0,003254	-0,003223	-0,001249	0	
-9,606738	-0,003256	-0,003224	-0,001249	0	
-19,213476	-0,003258	-0,003222	-0,002498	0	
-19,213476	-0,003258	-0,003222	-0,002498	0	
-9,606738	-0,003256	-0,003222	-0,001249	0	
-9,606738	-0,003256	-0,003225	-0,001249	0	
-24,016846	-0,003256	-0,003223	-0,003122	0	
-24,016846	-0,003258	-0,003223	-0,003122	0	
-19,213476	-0,003254	-0,003224	-0,002498	0	
-19,213476	-0,003254	-0,003225	-0,002498	0	
-14,410108	-0,003256	-0,003223	-0,001873	0	
-14,410108	-0,003256	-0,003222	-0,001873	0	
-14,410108	-0,003254	-0,003224	-0,001873	0	
-14,410108	-0,003256	-0,003226	-0,001873	0	
-14,410108	-0,003256	-0,003224	-0,001873	0	
-14,410108	-0,003258	-0,003225	-0,001873	0	
-9,606738	-0,003258	-0,003225	-0,001249	0	
-9,606738	-0,003258	-0,003224	-0,001249	0	
-14,410108	-0,003253	-0,003224	-0,001873	0	
-14,410108	-0,003254	-0,003222	-0,001873	0	
-14,410108	-0,003254	-0,003222	-0,001873	0	
-14,410108	-0,003257	-0,003225	-0,001873	0	
-14,410108	-0,003257	-0,003222	-0,001873	0	
-14,410108	-0,003258	-0,003223	-0,001873	0	
-14,410108	-0,003259	-0,003228	-0,001873	0	
-14,410108	-0,003257	-0,003223	-0,001873	0	
-14,410108	-0,003253	-0,003224	-0,001873	0	
-14,410108	-0,003257	-0,003229	-0,001873	0	
-14,410108	-0,003254	-0,003223	-0,001873	0	
-4,803369	-0,003254	-0,003223	-0,000624	0	
-14,410108	-0,003259	-0,003224	-0,001873	0	
