					
Mesure effectuee le 24/03/2014 a 16:04					
frequence 100 millisecond multiple					
section 0,04mm2					
vitesse 0,1mm/s					
					
OPERATEUR: 					
					
gain force	gain longi	fact  J longi	gain J trans	fact  J trans  	section mm² 
-0,002	0,1	2,09	0,1	2,09	0,04
					
contrainte MPa  	def longi	def trans 	Force en kN	Position	
-62,443802	-0,003254	-0,003223	-0,002498	0	
-62,443802	-0,003254	-0,003223	-0,002498	0	
-62,443802	-0,003256	-0,003223	-0,002498	0	
-62,443802	-0,003257	-0,003225	-0,002498	0	
-62,443802	-0,003257	-0,003221	-0,002498	0	
-46,832851	-0,003256	-0,003223	-0,001873	0	
-46,832851	-0,003256	-0,003223	-0,001873	0	
-93,665703	-0,003257	-0,003222	-0,003747	0	
-62,443802	-0,003257	-0,003224	-0,002498	0	
-62,443802	-0,003257	-0,003225	-0,002498	0	
-78,054749	-0,003257	-0,003225	-0,003122	0	
-78,054749	-0,003257	-0,003222	-0,003122	0	
-62,443802	-0,003257	-0,003223	-0,002498	0	
-62,443802	-0,003256	-0,003224	-0,002498	0	
-62,443802	-0,003256	-0,003224	-0,002498	0	
-62,443802	-0,003257	-0,003225	-0,002498	0	
-78,054749	-0,003258	-0,003223	-0,003122	0	
-78,054749	-0,003258	-0,003223	-0,003122	0	
-78,054749	-0,003254	-0,003224	-0,003122	0	
-78,054749	-0,003254	-0,003224	-0,003122	0	
-46,832851	-0,003254	-0,003223	-0,001873	0	
-46,832851	-0,003254	-0,003222	-0,001873	0	
-62,443802	-0,003254	-0,003222	-0,002498	0	
-62,443802	-0,003256	-0,003224	-0,002498	0	
-46,832851	-0,003256	-0,003224	-0,001873	-0,010294	
-46,832851	-0,003256	-0,003223	-0,001873	-0,010294	
-31,221901	-0,003254	-0,003224	-0,001249	-0,032941	
-31,221901	-0,003253	-0,003224	-0,001249	-0,032941	
-62,443802	-0,003253	-0,003224	-0,002498	-0,053235	
-62,443802	-0,003259	-0,003224	-0,002498	-0,053235	
-62,443802	-0,003259	-0,003224	-0,002498	-0,073824	
-62,443802	-0,003258	-0,003223	-0,002498	-0,073824	
-46,832851	-0,003256	-0,003222	-0,001873	-0,093235	
-46,832851	-0,003256	-0,003223	-0,001873	-0,093235	
-31,221901	-0,003256	-0,003223	-0,001249	-0,116176	
-31,221901	-0,003259	-0,003222	-0,001249	-0,116176	
-78,054749	-0,003257	-0,003224	-0,003122	-0,135588	
-78,054749	-0,003256	-0,003223	-0,003122	-0,135588	
-46,832851	-0,003254	-0,003222	-0,001873	-0,154706	
-46,832851	-0,003256	-0,003223	-0,001873	-0,154706	
-78,054749	-0,003256	-0,003223	-0,003122	-0,174118	
-78,054749	-0,003254	-0,003223	-0,003122	-0,174118	
-31,221901	-0,003258	-0,003224	-0,001249	-0,193824	
-31,221901	-0,003256	-0,003223	-0,001249	-0,193824	
-62,443802	-0,003256	-0,003222	-0,002498	-0,213529	
-62,443802	-0,003256	-0,003224	-0,002498	-0,213529	
-78,054749	-0,003256	-0,003224	-0,003122	-0,233235	
-78,054749	-0,003257	-0,003223	-0,003122	-0,233235	
-31,221901	-0,003256	-0,003224	-0,001249	-0,252941	
-31,221901	-0,003256	-0,003223	-0,001249	-0,252941	
-46,832851	-0,003256	-0,003223	-0,001873	-0,272941	
-46,832851	-0,003259	-0,003224	-0,001873	-0,272941	
-62,443802	-0,003254	-0,003223	-0,002498	-0,292647	
-62,443802	-0,003256	-0,003223	-0,002498	-0,292647	
-46,832851	-0,003256	-0,003223	-0,001873	-0,313235	
-46,832851	-0,003257	-0,003224	-0,001873	-0,313235	
-78,054749	-0,003257	-0,003224	-0,003122	-0,332353	
-78,054749	-0,003256	-0,003223	-0,003122	-0,332353	
-46,832851	-0,003256	-0,003223	-0,001873	-0,353235	
-46,832851	-0,003254	-0,003223	-0,001873	-0,353235	
-15,61095	-0,003256	-0,003224	-0,000624	-0,372647	
-15,61095	-0,003254	-0,003222	-0,000624	-0,372647	
-31,221901	-0,003254	-0,003222	-0,001249	-0,395882	
-31,221901	-0,003252	-0,003226	-0,001249	-0,395882	
-15,61095	-0,003254	-0,003224	-0,000624	-0,410588	
-15,61095	-0,003256	-0,003224	-0,000624	-0,429412	
0	-0,003256	-0,003222	0	-0,429412	
0	-0,003251	-0,003224	0	-0,448529	
-15,61095	-0,003257	-0,003224	-0,000624	-0,448529	
31,221901	-0,003259	-0,003222	0,001249	-0,467941	
31,221901	-0,003256	-0,003225	0,001249	-0,467941	
15,61095	-0,003254	-0,003224	0,000624	-0,487353	
15,61095	-0,003256	-0,003224	0,000624	-0,487353	
-15,61095	-0,003254	-0,003223	-0,000624	-0,506471	
-15,61095	-0,003257	-0,003225	-0,000624	-0,506471	
31,221901	-0,003257	-0,003223	0,001249	-0,525588	
31,221901	-0,003256	-0,003221	0,001249	-0,525588	
46,832851	-0,003257	-0,003223	0,001873	-0,544706	
46,832851	-0,003257	-0,003223	0,001873	-0,544706	
46,832851	-0,003258	-0,003224	0,001873	-0,564118	
46,832851	-0,003256	-0,003221	0,001873	-0,564118	
62,443802	-0,003257	-0,003226	0,002498	-0,583235	
62,443802	-0,003258	-0,003223	0,002498	-0,583235	
46,832851	-0,003256	-0,003224	0,001873	-0,603824	
46,832851	-0,003256	-0,003225	0,001873	-0,603824	
62,443802	-0,003253	-0,003225	0,002498	-0,621765	
62,443802	-0,003257	-0,003223	0,002498	-0,621765	
78,054749	-0,003256	-0,003224	0,003122	-0,641471	
78,054749	-0,003256	-0,003221	0,003122	-0,641471	
78,054749	-0,003256	-0,003221	0,003122	-0,660294	
78,054749	-0,003256	-0,003223	0,003122	-0,68	
124,887604	-0,003258	-0,003224	0,004996	-0,68	
124,887604	-0,003254	-0,003223	0,004996	-0,699118	
171,720459	-0,003256	-0,003224	0,006869	-0,699118	
171,720459	-0,003256	-0,003222	0,006869	-0,717647	
124,887604	-0,003254	-0,003225	0,004996	-0,717647	
124,887604	-0,003256	-0,003224	0,004996	-0,737059	
124,887604	-0,003254	-0,003224	0,004996	-0,737059	
